store, item, count
Canada,iPod Classic 1st Gen,25
Canada,iPod Classic 2nd Gen,20
Canada,iPod Classic 3rd Gen,15
Canada,iPod Classic 4th Gen,10
Canada,iPod Classic 6th Gen,5
Canada,iPod Classic 7th Gen,0
Canada,iPod Mini 1st Gen,28
Canada,iPod Mini 2nd Gen,27
Canada,iPod Nano 1st Gen,26
Canada,iPod Nano 2nd Gen,21
Canada,iPod Nano 3rd Gen,16
Canada,iPod Nano 4th Gen,11
Canada,iPod Nano 6th Gen,6
Canada,iPod Nano 7th Gen,1
Canada,iPod Shuffle 1st Gen,28
Canada,iPod Shuffle 2nd Gen,21
Canada,iPod Shuffle 3rd Gen,14
Canada,iPod Shuffle 4th Gen,7
Canada,iPod Touch 1st Gen,32
Canada,iPod Touch 2nd Gen,26
Canada,iPod Touch 3rd Gen,20
Canada,iPod Touch 4th Gen,14
Canada,iPod Touch 6th Gen,8
Canada,iPod Touch 7th Gen,2
Canada,iPhone,126
Canada,iPhone 3G,123
Canada,iPhone 3GS,120
Canada,iPhone 4,117
Canada,iPhone 4s,114
Canada,iPhone 5,111
Canada,iPhone 5c,108
Canada,iPhone 5s,105
Canada,iPhone 6,102
Canada,iPhone 6 Plus,99
Canada,iPhone 6s,96
Canada,iPhone 6s Plus,93
Canada,iPhone SE,90
Canada,iPhone 7,87
Canada,iPhone 7 PLus,84
Canada,iPhone 8,81
Canada,iPhone 8 Plus,78
Canada,iPhone X,75
Canada,iPhone XR,72
Canada,iPhone XS,69
Canada,iPhone XS Max,66
Canada,iPhone 11,63
Canada,iPhone 11 Pro,60
Canada,iPhone 11 Pro Max,57
Canada,iPhone SE 2nd Gen,54
Canada,iPhone 12,51
Canada,iPhone 12 Mini,48
Canada,iPhone 12 Pro,45
Canada,iPhone 12 Pro Max,42
Canada,iPhone 13,39
Canada,iPhone 13 Mini,36
Canada,iPhone 13 Pro,33
Canada,iPhone 13 Pro Max,30
Canada,iPhone SE 3rd Gen,27
Canada,iPhone 14,24
Canada,iPhone 14 Plus,21
Canada,iPhone 14 Pro,18
Canada,iPhone 14 Pro Max,15
Canada,iPhone 15,12
Canada,iPhone 15 Plus,9
Canada,iPhone 15 Pro,6
Canada,iPhone 15 Pro Max,3
Canada,iPad 1,40
Canada,iPad 2,36
Canada,iPad 3,32
Canada,iPad 4,28
Canada,iPad 5,24
Canada,iPad 6,20
Canada,iPad 7,16
Canada,iPad 8,12
Canada,iPad 9,8
Canada,iPad 10,4
Canada,iMac G3,29
Canada,iBook,28
Canada,Power Mac G4,27
Canada,iBook SE,26
Canada,Power Mac G4 Cube,25
Canada,iBook G3,24
Canada,iBook G4,23
Canada,iMac G4,22
Canada,eMac,21
Canada,Power Mac G5,20
Canada,Power Mac G5FX,19
Canada,iMac G5,18
Canada,iBook G4,17
Canada,Mac Mini G4,16
Canada,Power Mac G5,15
Canada,iMac,14
Canada,MacBook Pro,13
Canada,Mac Mini,12
Canada,MacBook,11
Canada,Mac Pro,10
Canada,MacBook Air,9
Canada,iMac Pro,8
Canada,Mac Studio,7
Canada,Apple Watch Series 0,32
Canada,Apple Watch Series 1,30
Canada,Apple Watch Series 2,28
Canada,Apple Watch Series 3,26
Canada,Apple Watch Series 4,24
Canada,Apple Watch Series 5,22
Canada,Apple Watch SE 1st Gen,20
Canada,Apple Watch Series 6,18
Canada,Apple Watch Series 7,16
Canada,Apple Watch Series 8,14
Canada,Apple Watch SE 2nd Gen,12
Canada,Apple Watch Ultra,10
Canada,Apple Watch Series 9,8
Canada,Apple Watch Ultra 2,6
