store, item, count
France,iPod Classic 1st Gen,112
France,iPod Classic 2nd Gen,111
France,iPod Classic 3rd Gen,110
France,iPod Classic 4th Gen,109
France,iPod Classic 6th Gen,108
France,iPod Classic 7th Gen,107
France,iPod Mini 1st Gen,106
France,iPod Mini 2nd Gen,105
France,iPod Nano 1st Gen,104
France,iPod Nano 2nd Gen,103
France,iPod Nano 3rd Gen,102
France,iPod Nano 4th Gen,101
France,iPod Nano 6th Gen,100
France,iPod Nano 7th Gen,99
France,iPod Shuffle 1st Gen,98
France,iPod Shuffle 2nd Gen,97
France,iPod Shuffle 3rd Gen,96
France,iPod Shuffle 4th Gen,95
France,iPod Touch 1st Gen,94
France,iPod Touch 2nd Gen,93
France,iPod Touch 3rd Gen,92
France,iPod Touch 4th Gen,91
France,iPod Touch 6th Gen,90
France,iPod Touch 7th Gen,89
France,iPhone,88
France,iPhone 3G,87
France,iPhone 3GS,86
France,iPhone 4,85
France,iPhone 4s,84
France,iPhone 5,83
France,iPhone 5c,82
France,iPhone 5s,81
France,iPhone 6,80
France,iPhone 6 Plus,79
France,iPhone 6s,78
France,iPhone 6s Plus,77
France,iPhone SE,76
France,iPhone 7,75
France,iPhone 7 PLus,74
France,iPhone 8,73
France,iPhone 8 Plus,72
France,iPhone X,71
France,iPhone XR,70
France,iPhone XS,69
France,iPhone XS Max,68
France,iPhone 11,67
France,iPhone 11 Pro,66
France,iPhone 11 Pro Max,65
France,iPhone SE 2nd Gen,64
France,iPhone 12,63
France,iPhone 12 Mini,62
France,iPhone 12 Pro,61
France,iPhone 12 Pro Max,60
France,iPhone 13,59
France,iPhone 13 Mini,58
France,iPhone 13 Pro,57
France,iPhone 13 Pro Max,56
France,iPhone SE 3rd Gen,55
France,iPhone 14,54
France,iPhone 14 Plus,53
France,iPhone 14 Pro,52
France,iPhone 14 Pro Max,51
France,iPhone 15,50
France,iPhone 15 Plus,49
France,iPhone 15 Pro,48
France,iPhone 15 Pro Max,47
France,iPad 1,46
France,iPad 2,45
France,iPad 3,44
France,iPad 4,43
France,iPad 5,42
France,iPad 6,41
France,iPad 7,40
France,iPad 8,39
France,iPad 9,38
France,iPad 10,37
France,iMac G3,36
France,iBook,35
France,Power Mac G4,34
France,iBook SE,33
France,Power Mac G4 Cube,32
France,iBook G3,31
France,iBook G4,30
France,iMac G4,29
France,eMac,28
France,Power Mac G5,27
France,Power Mac G5FX,26
France,iMac G5,25
France,iBook G4,24
France,Mac Mini G4,23
France,Power Mac G5,22
France,iMac,21
France,MacBook Pro,20
France,Mac Mini,19
France,MacBook,18
France,Mac Pro,17
France,MacBook Air,16
France,iMac Pro,15
France,Mac Studio,14
France,Apple Watch Series 0,13
France,Apple Watch Series 1,12
France,Apple Watch Series 2,11
France,Apple Watch Series 3,10
France,Apple Watch Series 4,9
France,Apple Watch Series 5,8
France,Apple Watch SE 1st Gen,7
France,Apple Watch Series 6,6
France,Apple Watch Series 7,5
France,Apple Watch Series 8,4
France,Apple Watch SE 2nd Gen,3
France,Apple Watch Ultra,2
France,Apple Watch Series 9,1
France,Apple Watch Ultra 2,0
