store, item, count
USA,iPod Classic 1st Gen,34
USA,iPod Classic 2nd Gen,33
USA,iPod Classic 3rd Gen,32
USA,iPod Classic 4th Gen,31
USA,iPod Classic 6th Gen,30
USA,iPod Classic 7th Gen,29
USA,iPod Mini 1st Gen,28
USA,iPod Mini 2nd Gen,27
USA,iPod Nano 1st Gen,26
USA,iPod Nano 2nd Gen,25
USA,iPod Nano 3rd Gen,24
USA,iPod Nano 4th Gen,23
USA,iPod Nano 6th Gen,22
USA,iPod Nano 7th Gen,21
USA,iPod Shuffle 1st Gen,20
USA,iPod Shuffle 2nd Gen,19
USA,iPod Shuffle 3rd Gen,18
USA,iPod Shuffle 4th Gen,17
USA,iPod Touch 1st Gen,16
USA,iPod Touch 2nd Gen,15
USA,iPod Touch 3rd Gen,14
USA,iPod Touch 4th Gen,13
USA,iPod Touch 6th Gen,12
USA,iPod Touch 7th Gen,11
USA,iPhone,82
USA,iPhone 3G,80
USA,iPhone 3GS,78
USA,iPhone 4,76
USA,iPhone 4s,74
USA,iPhone 5,72
USA,iPhone 5c,70
USA,iPhone 5s,68
USA,iPhone 6,66
USA,iPhone 6 Plus,64
USA,iPhone 6s,62
USA,iPhone 6s Plus,60
USA,iPhone SE,58
USA,iPhone 7,56
USA,iPhone 7 PLus,54
USA,iPhone 8,52
USA,iPhone 8 Plus,50
USA,iPhone X,48
USA,iPhone XR,46
USA,iPhone XS,44
USA,iPhone XS Max,42
USA,iPhone 11,40
USA,iPhone 11 Pro,38
USA,iPhone 11 Pro Max,36
USA,iPhone SE 2nd Gen,34
USA,iPhone 12,32
USA,iPhone 12 Mini,30
USA,iPhone 12 Pro,28
USA,iPhone 12 Pro Max,26
USA,iPhone 13,24
USA,iPhone 13 Mini,22
USA,iPhone 13 Pro,20
USA,iPhone 13 Pro Max,18
USA,iPhone SE 3rd Gen,16
USA,iPhone 14,14
USA,iPhone 14 Plus,12
USA,iPhone 14 Pro,10
USA,iPhone 14 Pro Max,8
USA,iPhone 15,6
USA,iPhone 15 Plus,4
USA,iPhone 15 Pro,2
USA,iPhone 15 Pro Max,0
USA,iPad 1,40
USA,iPad 2,36
USA,iPad 3,32
USA,iPad 4,28
USA,iPad 5,24
USA,iPad 6,20
USA,iPad 7,16
USA,iPad 8,12
USA,iPad 9,8
USA,iPad 10,4
USA,iMac G3,45
USA,iBook,43
USA,Power Mac G4,41
USA,iBook SE,39
USA,Power Mac G4 Cube,37
USA,iBook G3,35
USA,iBook G4,33
USA,iMac G4,31
USA,eMac,29
USA,Power Mac G5,27
USA,Power Mac G5FX,25
USA,iMac G5,23
USA,iBook G4,21
USA,Mac Mini G4,19
USA,Power Mac G5,17
USA,iMac,15
USA,MacBook Pro,13
USA,Mac Mini,11
USA,MacBook,9
USA,Mac Pro,7
USA,MacBook Air,5
USA,iMac Pro,3
USA,Mac Studio,1
USA,Apple Watch Series 0,42
USA,Apple Watch Series 1,39
USA,Apple Watch Series 2,36
USA,Apple Watch Series 3,33
USA,Apple Watch Series 4,30
USA,Apple Watch Series 5,27
USA,Apple Watch SE 1st Gen,24
USA,Apple Watch Series 6,21
USA,Apple Watch Series 7,18
USA,Apple Watch Series 8,15
USA,Apple Watch SE 2nd Gen,12
USA,Apple Watch Ultra,9
USA,Apple Watch Series 9,6
USA,Apple Watch Ultra 2,3
